;Row	Column	Xpos	Ypos	State
;=======================================
;Alatau
;=======================================
15	15	78	89	1
15	16	72	89	1
15	17	66	89	1
15	18	60	89	1
15	19	54	89	1
15	20	48	89	1
15	21	42	89	1
15	22	36	89	1
15	23	30	89	1
15	24	24	89	1
15	25	18	89	1
15	26	12	89	1
15	27	6	89	1
15	28	0	89	1
16	1	162	95	1
16	2	156	95	1
16	3	150	95	1
16	4	144	95	1
16	5	138	95	1
16	6	132	95	1
16	7	126	95	1
16	8	120	95	1
16	9	114	95	1
16	10	108	95	1
16	11	102	95	1
16	12	96	95	1
16	13	90	95	1
16	14	84	95	1
16	15	78	95	1
16	16	72	95	1
16	17	66	95	1
16	18	60	95	1
16	19	54	95	1
16	20	48	95	1
16	21	42	95	1
16	22	36	95	1
16	23	30	95	1
16	24	24	95	1
16	25	18	95	1
16	26	12	95	1
16	27	6	95	1
16	28	0	95	1
17	1	162	101	1
17	2	156	101	1
17	3	150	101	1
17	4	144	101	1
17	5	138	101	1
17	6	132	101	1
17	7	126	101	1
17	8	120	101	1
17	9	114	101	1
17	10	108	101	1
17	11	102	101	1
17	12	96	101	1
17	13	90	101	1
17	14	84	101	1
17	15	78	101	1
17	16	72	101	1
17	17	66	101	1
17	18	60	101	1
17	19	54	101	1
17	20	48	101	1
17	21	42	101	1
17	22	36	101	1
17	23	30	101	1
17	24	24	101	1
17	25	18	101	1
17	26	12	101	1
17	27	6	101	1
17	28	0	101	1
18	1	162	107	1
18	2	156	107	1
18	3	150	107	1
18	4	144	107	1
18	5	138	107	1
18	6	132	107	1
18	7	126	107	1
18	8	120	107	1
18	9	114	107	1
18	10	108	107	1
18	11	102	107	1
18	12	96	107	1
18	13	90	107	1
18	14	84	107	1
18	15	78	107	1
18	16	72	107	1
18	17	66	107	1
18	18	60	107	1
18	19	54	107	1
18	20	48	107	1
18	21	42	107	1
18	22	36	107	1
18	23	30	107	1
18	24	24	107	1
18	25	18	107	1
18	26	12	107	1
18	27	6	107	1
18	28	0	107	1
19	1	162	113	1
19	2	156	113	1
19	3	150	113	1
19	4	144	113	1
19	5	138	113	1
19	6	132	113	1
19	7	126	113	1
19	8	120	113	1
19	9	114	113	1
19	10	108	113	1
19	11	102	113	1
19	12	96	113	1
19	13	90	113	1
19	14	84	113	1
19	15	78	113	1
19	16	72	113	1
19	17	66	113	1
19	18	60	113	1
19	19	54	113	1
19	20	48	113	1
19	21	42	113	1
19	22	36	113	1
19	23	30	113	1
19	24	24	113	1
19	25	18	113	1
19	26	12	113	1
19	27	6	113	1
19	28	0	113	1
20	1	162	119	1
20	2	156	119	1
20	3	150	119	1
20	4	144	119	1
20	5	138	119	1
20	6	132	119	1
20	7	126	119	1
20	8	120	119	1
20	9	114	119	1
20	10	108	119	1
20	11	102	119	1
20	12	96	119	1
20	13	90	119	1
20	14	84	119	1
20	15	78	119	1
20	16	72	119	1
20	17	66	119	1
20	18	60	119	1
20	19	54	119	1
20	20	48	119	1
20	21	42	119	1
20	22	36	119	1
20	23	30	119	1
20	24	24	119	1
20	25	18	119	1
20	26	12	119	1
20	27	6	119	1
20	28	0	119	1
21	1	156	125	1
21	2	150	125	1
21	3	144	125	1
21	4	138	125	1
21	5	132	125	1
21	6	126	125	1
21	7	120	125	1
21	8	114	125	1
21	9	108	125	1
21	10	102	125	1
21	11	96	125	1
21	12	90	125	1
21	13	84	125	1
21	14	78	125	1
21	15	72	125	1
21	16	66	125	1
21	17	60	125	1
21	18	54	125	1
21	19	48	125	1
21	20	42	125	1
21	21	36	125	1
21	22	30	125	1
21	23	24	125	1
21	24	18	125	1
21	25	12	125	1
21	26	6	125	1
22	1	150	131	1
22	2	144	131	1
22	3	138	131	1
22	4	132	131	1
22	5	126	131	1
22	6	120	131	1
22	7	114	131	1
22	8	108	131	1
22	9	102	131	1
22	10	96	131	1
22	11	90	131	1
22	12	84	131	1
22	13	78	131	1
22	14	72	131	1
22	15	66	131	1
22	16	60	131	1
22	17	54	131	1
22	18	48	131	1
22	19	42	131	1
22	20	36	131	1
22	21	30	131	1
22	22	24	131	1
22	23	18	131	1
22	24	12	131	1
